Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,64.3125,64.4375,61.6875,61.8125,39.779388,294400
2000-01-04,61.5625,62.1875,58.9375,59.4375,38.250965,472600
2000-01-05,59.4375,60.8125,59.3125,60.3125,38.814056,419500
2000-01-06,60.1875,61.625,59.6875,60.8125,39.135838,266600
2000-01-07,60.9375,61.5625,60.375,61.0,39.256496000000006,298400
2000-01-10,61.25,62.6875,61.125,61.75,39.739146999999996,212700
2000-01-11,62.0,64.5625,62.0,64.0,41.187138,309500
2000-01-12,63.75,63.8125,61.75,61.75,39.739146999999996,357100
2000-01-13,62.0,62.25,61.25,61.4375,39.538052,174500
2000-01-14,61.5,62.1875,61.125,61.1875,39.377151,239500
2000-01-18,60.0,60.3125,59.25,59.3125,38.170513,233500
2000-01-19,61.5,63.1875,59.625,59.625,38.371624,548000
2000-01-20,59.875,60.5625,59.125,59.5,38.291183000000004,471900
2000-01-21,56.0,58.0,52.25,57.5,37.004086,2453200
2000-01-24,57.75,59.9375,57.375,57.9375,37.285629,894400
2000-01-25,57.9375,58.375,51.75,53.625,34.510329999999996,1122600
2000-01-26,55.0625,59.9375,55.0,59.875,38.532501,920900
2000-01-27,59.625,60.25,56.4375,56.6875,36.481186,895100
2000-01-28,55.375,58.5625,55.375,56.75,36.521412,375500
2000-01-31,56.5,58.75,56.25,58.25,37.486740000000005,391500
2000-02-01,58.25,60.4375,58.25,59.6875,38.411839,531500
2000-02-02,59.4375,59.5,57.5625,57.625,37.084518,468300
2000-02-03,57.5625,58.25,57.0625,57.5625,37.044296,355000
2000-02-04,57.8125,58.1875,56.3125,56.375,36.280083000000005,300100
2000-02-07,56.375,57.25,55.0,55.5625,35.757191,495300
2000-02-08,55.8125,56.1875,54.375,54.375,34.992973,372300
2000-02-09,55.0625,55.375,54.6875,54.9375,35.354991999999996,355200
2000-02-10,55.0,55.4375,54.125,54.375,34.992973,288900
2000-02-11,54.9375,55.375,52.625,52.75,33.947212,253400
2000-02-14,51.75,53.875,50.5,52.9375,34.067890000000006,741400
2000-02-15,53.0625,54.0625,51.9375,52.6875,33.906994,711000
2000-02-16,53.0625,54.125,53.0,54.0,34.751663,493300
2000-02-17,54.0,58.4375,54.0,57.0,36.682316,575000
2000-02-18,56.375,56.6875,54.3125,54.5,35.073429,487000
2000-02-22,54.5,55.25,54.25,54.5625,35.113651000000004,473400
2000-02-23,54.5625,54.9375,54.125,54.1875,34.872314,467700
